dataset_name_en,url,Summary,Open conditions,Data Classification,Data Format,Provide departments / entities,Department Phone Number,Department E-Mail,Update frequency,Basic Info API,Field Name,Field Types,Field Var Len,Field Description (T_Chinese),Field Description (S_Chinese),Field Description (English),Field Description (Portuguese),has_api,API name,Request Method,Return Format,API url,Interface Description,api_key,api_val,api_summary_en
Applications for trademark registration,https://data.gov.mo/Detail?id=8ff5d0ef-235c-4847-a4ca-0f9d5b515bb6,Per month way to provide applications for trademark registration statistics,Completely open,Entrepreneurship and Business,CSV,Economic and Technology Development Council,(853) 2888 2088,info@economia.gov.mo,per month,https://api.data.gov.mo/document/download/8ff5d0ef-235c-4847-a4ca-0f9d5b515bb6?token=6yPmFvtPlXrSDd8yXRr9pm8ux55pPFfqO&isNeedFile=0&lang=TC,"['Year', 'Month', 'Quantity']","['int', 'int', 'int']","['4', '2', '6']","['年', '月', '數量']","['年', '月', '數量']","['Year', 'Month', 'Quantity']","['Ano', 'Mês', 'Quantidade']",FALSE,,,,,,,,
In particular instant messages weather,https://data.gov.mo/Detail?id=63b99551-539d-4381-967e-bfb82f4e7c05,Provide early warning message before the weather change information or the occurrence of severe weather and so on.,Completely open,city ​​environment,XML,Meteorological and Geophysical Bureau,(853) 8898 6223,meteo@smg.gov.mo,As needed,https://api.data.gov.mo/document/download/63b99551-539d-4381-967e-bfb82f4e7c05?token=SZ42UTWMKEvx6XUHiM29JHcweXaUjx6jm&isNeedFile=0&lang=TC,,,,,,,,FALSE,,,,,,,,
Macau International Airport passenger volume,https://data.gov.mo/Detail?id=92824cd3-ef32-4cc4-862b-d45b320b5b9d,Macau International Airport provides annual number of passenger,Completely open,Public transit,XLSX,Civil Aviation Authority,(853) 28511213,aacm@aacm.gov.mo,Per year,https://api.data.gov.mo/document/download/92824cd3-ef32-4cc4-862b-d45b320b5b9d?token=BkG4zTyhp14YIs3GDRgd1xocjHEr5xFT&isNeedFile=0&lang=TC,"['year', 'month', 'numberOfPassengers']","['number', 'string', 'number']","['4', '3', '-']","['年份', '月份', '乘客數量']","['年份', '月份', '乘客数量']","['year', 'month', 'number of passengers']","['ano', 'mês', 'número de passageiros']",FALSE,,,,,,,,
Automatic water quality monitoring station data,https://data.gov.mo/Detail?id=ca5ab966-6195-4b67-beff-a66d7436b0be,"Data on water quality automatic monitoring stations
StationCode:
ECO - Eco-zone automatic water quality monitoring stations
BAR - Inner Harbor water quality automatic monitoring stations
FCK - Green Island pond water quality automatic monitoring stations

""-"" indicates a result of engineering and maintenance, no relevant data.
The data for the period 2011-2013 for the test data.",Completely open,city ​​environment,JSON,Environmental Protection Agency,+853 2872 5134,info@dspa.gov.mo,per month,https://api.data.gov.mo/document/download/ca5ab966-6195-4b67-beff-a66d7436b0be?token=pRGxoSCbJ6Ih7STyCXhVmOVRQxkGf2eKZ&isNeedFile=0&lang=TC,"['StationCode', 'CollectionPeriod', 'WaterTemp', 'Conductivity', 'Salinity', 'PH', 'Turbidity', 'DisolvedOxygen']","['nvarcahr', 'nvarcahr', 'nvarcahr', 'nvarcahr', 'nvarcahr', 'nvarcahr', 'nvarcahr', 'nvarcahr']","['200', '200', '200', '200', '200', '200', '200', '200']","['站點名稱', '收集時間', '水温(°C)', '電導率(mS/cm)', '鹽度(ppt)', '酸鹼值', '渾濁度(NTU)', '溶氧度(mg/L)']","['站点名称', '收集时间', '水温(°C)', '电导率(mS/cm)', '盐度(ppt)', '酸碱值', '浑浊度(NTU)', '溶氧度(mg/L)']","['Código da estação', 'Collection Period', 'Water Temperature(°C)', 'Conductivity(mS/cm)', 'Salinidade(ppt)', 'Valor do pH', 'Turvação(NTU)', 'Oxigénio dissolvido(mg/L)']","['Código da estação', 'Tempo de coleta', 'Temperatura da água(°C)', 'Conductividade(mS/cm)', 'Salinidade(ppt)', 'Valor do pH', 'Turvação(NTU)', 'Oxigénio dissolvido(mg/L)']",TRUE,Automatic water quality monitoring station data,POST,JSON,https://dspa.apigateway.data.gov.mo/T_Bas_Water_Monitor_Approved,Water Automatic Monitoring Data - Water Automatic Monitoring Data - Dados da estação de monitoramento da qualidade da água,Authorization,APPCODE 09d43a591fba407fb862412970667de4,Required parameter call api
The number of Macao students in further education outside the Macao Statistics ─ by sex,https://data.gov.mo/Detail?id=143e1159-fa1f-4d47-bf46-c49410838e52,"By way of the academic year, provided by sex outside studies the number of Macao students.",Completely open,education,CSV,Council of Higher Education,（853）2834 5403,info@dses.gov.mo,Per year,https://api.data.gov.mo/document/download/143e1159-fa1f-4d47-bf46-c49410838e52?token=uhFOqaISyxieGkITmFNsQIjgpL6MG1CdL&isNeedFile=0&lang=TC,"['period', 'genderTC', 'genderPT', 'value']","['string', 'string', 'string', 'number']","['-', '-', '-', '-']","['年份', '性別(繁體中文)', '性別(葡文)', '在外升學本地學生人數']","['年份', '性別(繁体中文)', '性別(葡文)', '在外升学本地学生人数']","['-', '-', '-', '-']","['Ano', 'Sexo (caracteres chineses)', 'Sexo (caracteres em português)', 'Número de estudantes locais que prosseguem os seus estudos no exterior']",FALSE,,,,,,,,
Seven days weather forecast,https://data.gov.mo/Detail?id=4ad04fae-852d-4d31-b31c-77dfc080f8f5,"Weather forecast for the next seven days, including weather conditions, temperature, humidity, wind direction and speed and other information.",Completely open,city ​​environment,XML,Meteorological and Geophysical Bureau,(853) 8898 6223,meteo@smg.gov.mo,As needed,https://api.data.gov.mo/document/download/4ad04fae-852d-4d31-b31c-77dfc080f8f5?token=BDZGjSg7X7lkUAV7zkmDRo7Hr0UhVnNo&isNeedFile=0&lang=TC,,,,,,,,FALSE,,,,,,,,
"The first set of the latest ""Gazette""",https://data.gov.mo/Detail?id=937ccdd0-8cff-4028-b081-bd4e318bd9e9,"With the most recent ""Macao Special Administrative Region,"" the first group of directory information and links within the text.",Completely open,Administrative and Legal Affairs,XML,Printing Department,2857 3822,info@io.gov.mo,As needed,https://api.data.gov.mo/document/download/937ccdd0-8cff-4028-b081-bd4e318bd9e9?token=WkZh4tjEvahTQo07RQDWGy9Uqa9yFFIuf&isNeedFile=0&lang=TC,"['title', 'link', 'description', 'author', 'pubDate', 'serie', 'BoYear', 'bo', 'sup']","['nvarchar', 'text', 'nvarchar', 'text', 'datetime', 'int', 'int', 'int', 'int']","['255', '-', '1000', '-', '10', '1', '4', '2', '1']","['標題', '內文連結', '摘要', '出版者', '出版日期', '組別', '年份', '期數', '副刊']","['标题', '内文连结', '摘要', '出版者', '出版日期', '组别', '年份', '期数', '副刊']","['title', 'link', 'description', 'author', 'date of publication', 'serie', 'Year', 'BO', 'supplement']","['Título', 'hiperligação', 'descrição', 'autor', 'Data de publicação', 'serie', 'Ano de BO', 'BO', 'suplemento']",TRUE,Portuguese,GET,XML,https://io.apigateway.data.gov.mo/iobo1p,Último Boletim Oficial I Série,Authorization,APPCODE 09d43a591fba407fb862412970667de4,Required parameter call api
Retirement and pension system - pension copies,https://data.gov.mo/Detail?id=c9a19752-f89a-455c-8dfb-585504299f70,Receive annual statistics of the number of pension and retirement pension systems,Completely open,Administrative and Legal Affairs,CSV,Pension Fund,2835 6556,fp@fp.gov.mo,Per year,https://api.data.gov.mo/document/download/c9a19752-f89a-455c-8dfb-585504299f70?token=81BC90Nciw68tjuiOdZ5y4kxOTkrBFKb&isNeedFile=0&lang=TC,"['year', 'quantityCount']","['-', '-']","['-', '-']","['年份', '份數']","['年份', '份数']","['', '']","['Ano', 'N.º de pensões']",FALSE,,,,,,,,
Public service jobs - a comprehensive assessment of the ability examination for a unified management system of data,https://data.gov.mo/Detail?id=1a255b4e-ce65-47d8-9a68-cb814007cdd6,"According to administrative regulations No. 23/2017 revised administrative regulations No. 14/2016, concerning civil servants recruitment examination for a comprehensive assessment of the ability of a unified management system data",Completely open,Administrative and Legal Affairs,XLSX,Chief Civil Service Bureau,（853）88668866,dprtsp@safp.gov.mo,As needed,https://api.data.gov.mo/document/download/1a255b4e-ce65-47d8-9a68-cb814007cdd6?token=ryapsJPQPwJhnfOjWxyqXKSFL8J0d3eq&isNeedFile=0&lang=TC,"['noConcurso', 'dataAviso', 'cand', 'candA', 'dataLista', 'dataValidade']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-']","['開考編號', '開考通告刊登日期', '報考人數', '確定名單准考人', '成績名單公佈日期', '成績名單有效期']","['开考编号', '开考通告刊登日期', '报考人数', '确定名单准考人', '成绩名单公布日期', '成绩名单有效期']","['No. of test', 'date of notice', 'number of candidates', 'approved list of candidates', 'results release date', 'results validity period']","['N.° do concurso', 'Data do aviso abertura', 'Candidaturas', 'Candidatos admitidos na lista definitiva', 'Data da lista classificativa', 'Data de validade da lista classificativa']",FALSE,,,,,,,,
The overall unemployment rate,https://data.gov.mo/Detail?id=662fc6ea-d70a-4f18-9611-5dfbd6b88d52,Unemployed as a percentage of the labor force.,Completely open,Obtain employment,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,Quarterly,https://api.data.gov.mo/document/download/662fc6ea-d70a-4f18-9611-5dfbd6b88d52?token=k4st9NJznWL1s4t1HDN6p7diOl77UwzWG&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '失業率/%']","['年份', '失业率/%']","['Year', 'Unemployment rate/%']","['Ano', 'Taxa de desemprego/%']",FALSE,,,,,,,,
Personnel Licensing Overview,https://data.gov.mo/Detail?id=054b4bb8-b2bb-42dc-8cc6-a8b210ef3965,Personnel Licensing Overview,Completely open,Public transit,XLSXLSX,Civil Aviation Authority,(853) 28511213,aacm@aacm.gov.mo,Per year,https://api.data.gov.mo/document/download/054b4bb8-b2bb-42dc-8cc6-a8b210ef3965?token=txqQf7z5EWmwCdYUvx6fVRUL9aX02wIF&isNeedFile=0&lang=TC,"['Year', 'TypeLicense', 'numberActiveLicense']","['Datetime', 'String', 'Number']","['--', '100', '20']","['年份', '執照類別', '數量']","['年份', '执照类別', '数量']","['Year', 'Type of License', 'Number of Active License']","['Ano', 'Tipo de Licença', 'Número de licença ativa']",FALSE,,,,,,,,
Retirement and pension system - serving members - by age,https://data.gov.mo/Detail?id=2085fc75-1e52-4bb1-ba7a-05535294a1fb,Statistics by age in those days the number of retirees and pension systems serving members of the,Completely open,Administrative and Legal Affairs,CSV,Pension Fund,2835 6556,fp@fp.gov.mo,Per year,https://api.data.gov.mo/document/download/2085fc75-1e52-4bb1-ba7a-05535294a1fb?token=xircxKWmb8RqzmZTAMj521IViyVQvCyI&isNeedFile=0&lang=TC,"['year', 'age', 'peopleCount']","['-', '-', '-']","['-', '-', '-']","['年份', '年齡', '人數']","['年份', '年龄', '人数']","['', '', '']","['Ano', 'Idade', 'N.º de subscritores']",FALSE,,,,,,,,
Chief Executive Election results statistics,https://data.gov.mo/Detail?id=242fadb6-04c6-4e6c-8eaf-392e409be226,"Since 2004, the results of the Chief Executive Election statistics",Completely open,Administrative and Legal Affairs,XLSX,Chief Civil Service Bureau,（853）28323623,info@safp.gov.mo,As needed,https://api.data.gov.mo/document/download/242fadb6-04c6-4e6c-8eaf-392e409be226?token=Vyfk3kPEUB3M5347uNjxNGLMwvGxP59J&isNeedFile=0&lang=TC,"['ano', 'membrosDaComissaoEleitoralinscritos', 'membrosdaComissaoEleitoralvotantes', 'membrosDaComissaoEleitoralnaoVotantes', 'votosValidamenteExpressos', 'votosEmBranco', 'votosNulos', 'ordemNaLista', 'nomeDoCandidato', 'votosObtidos', 'eleitoTc']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['年份', '已登記選委會委員總數', '已投票之選委會委員', '無投票之選委會委員', '有效票', '空白票', '廢票', '候選人排序', '候選人姓名', '得票數目', '是否當選']","['年份', '已登记选委会委员总数', '已投票之选委会委员', '无投票之选委会委员', '有效票', '空白票', '废票', '候选人排序', '候选人姓名', '得票数目', '是否当选']","['year', 'total number of registered members of the Election Committee', 'voting members of the Election Committee', 'non-voting members of the Election Committee', 'valid votes', 'blank votes', 'invalid votes', 'order list of candidates', 'name of candidate', 'votes obtained', 'elected or not']","['Ano', 'Membros da Comissão Eleitoral inscritos', 'Membros da Comissão Eleitoral votantes', 'Membros da Comissão Eleitoral não votantes', 'Votos validamente expressos', 'Votos em branco', 'Votos nulos', 'Ordem na lista', 'Nome do candidato', 'Votos obtidos', 'Eleito']",FALSE,,,,,,,,
Year-end total population,https://data.gov.mo/Detail?id=7578ac99-41a4-4c8c-8da2-fad18eb40c13,"The total population, including the local population, ranking Australian resident workers and foreign students.",Completely open,Demography,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,Per year,https://api.data.gov.mo/document/download/7578ac99-41a4-4c8c-8da2-fad18eb40c13?token=oifE5GYXSkKs3cVhI7GiCpHAmWCoKm9ys&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '人數/千人']","['年份', '人数/千人']","['Year', ""Number/'000""]","['Ano', ""Número/'000 pessoas""]",FALSE,,,,,,,,
Noise monitoring station data,https://data.gov.mo/Detail?id=d57eca5e-d61e-4718-9d19-a8d80e2f34dd,"About noise monitoring station data
Category:
NMT_1 - Horta e Costa Stations
NMT_2 - Parker Street Stations
NMT_4 - Mula Shi Avenida Stations
NMT_5 - Taipa Shi Lihua Street Stations
NMT_6 - ecological protection zone monitoring station
NMT_7 - Shek Pai Wan Stations
NMT_8 - Hak Sa Stations

""-"" indicates that no relevant factors engineering for maintenance or test items, no relevant data.",Completely open,city ​​environment,JSON,Environmental Protection Agency,+853 2872 5134,info@dspa.gov.mo,per month,https://api.data.gov.mo/document/download/d57eca5e-d61e-4718-9d19-a8d80e2f34dd?token=v8WhnEAFWRBzOzexFFpIwhByakotVmHN4&isNeedFile=0&lang=TC,"['Category', 'CollectionPeriod', 'Avg24Hrs', 'Avg08_20', 'Avg20_08', 'Avg20_24', 'Avg24_08', 'AvgMonthly']","['nvarchar', 'nvarchar', 'nvarchar', 'nvarchar', 'nvarchar', 'nvarchar', 'nvarchar', 'nvarchar']","['200', '200', '200', '200', '200', '200', '200', '200']","['站點名稱', '收集時間', '24小時平均等效連續聲級 dB(A)', '日平均日間時段(08-20時)等效連續聲級 dB(A)', '日平均夜間時段(20-08時)等效連續聲級 dB(A)', '20-24時日平均等效連續聲級 dB(A)', '24-08時日平均等效連續聲級 dB(A)', '月平均等效連續聲級 dB(A)']","['站点名称', '收集时间', '24小时平均等效连续声级 dB(A)', '日平均日间时段(08-20时)等效连续声级 dB(A)', '日平均夜间时段(20-08时)等效连续声级 dB(A)', '20-24时日平均等效连续声级 dB(A)', '24-08时日平均等效连续声级 dB(A)', '月平均等效连续声级 dB(A)']","['Código da estação', 'Tempo de coleta', 'Nível Sonoro Contínuo Equivalente(Média de 24h) dB(A)', 'Nível Sonoro Contínuo Equivalente ao período diurno (08-20h) (Média diária) dB(A)', 'Nível Sonoro Contínuo Equivalente ao período nocturno (20-08h) (Média diária) dB(A)', 'Nível Sonoro Contínuo Equivalente ao período 20-24h dB(A)', 'Nível Sonoro Contínuo Equivalente ao período 24-08h dB(A)', 'Nível Sonoro Contínuo Equivalente(Média mensal) dB(A)']","['Código da estação', 'Tempo de coleta', 'Nível Sonoro Contínuo Equivalente(Média de 24h) dB(A)', 'Nível Sonoro Contínuo Equivalente ao período diurno (08-20h) (Média diária) dB(A)', 'Nível Sonoro Contínuo Equivalente ao período nocturno (20-08h) (Média diária) dB(A)', 'Nível Sonoro Contínuo Equivalente ao período 20-24h dB(A)', 'Nível Sonoro Contínuo Equivalente ao período 24-08h dB(A)', 'Nível Sonoro Contínuo Equivalente(Média mensal) dB(A)']",TRUE,Noise monitoring station data,POST,JSON,https://dspa.apigateway.data.gov.mo/T_Bas_Noise_NMT_Approved,Noise monitoring station data - noise monitoring station data - Dados de estações de monitorização de ruído,Authorization,APPCODE 09d43a591fba407fb862412970667de4,Required parameter call api
Civil Aviation Authority of handling complaints and suggestions,https://data.gov.mo/Detail?id=cc24f281-5369-4111-9aea-50e2f07096c7,Civil Aviation Authority of handling complaints and suggestions,Completely open,Public transit,XLSX,Civil Aviation Authority,28511213,opinion@aacm.gov.mo,Quarterly,https://api.data.gov.mo/document/download/cc24f281-5369-4111-9aea-50e2f07096c7?token=qCxaaLoBNT7jBsMOJP5dx2foLdZNu5W0O&isNeedFile=0&lang=TC,"['year', 'quarter', 'typeTc', 'typeEn', 'suggestionsQty', 'complaintsQty']","['number', 'number', 'string', 'string', 'number', 'number']","['4', '1', '10', '40', '3', '3']","['年份', '季度', '類别', '類别', '建議數目', '投訴數目']","['年份', '季度', '类别', '类别', '建议数目', '投诉数目']","['year', 'quarter', 'category', 'category', 'suggestions quantity', 'complaints quantity']","['ano', 'trimestre', 'categoría', 'categoría', 'número de sugestões', 'número de reclamações']",FALSE,,,,,,,,
Visitors per capita consumption,https://data.gov.mo/Detail?id=f02b334a-cc44-4433-b942-672de0fdad13,"Passengers to buy their own use or as a per capita consumption of goods and services to send gifts of others, including consumer paid by passengers or others (such as relatives or employers), but does not include gaming, donation, purchase of assets or as expenses resale of goods.",Completely open,Tourism and Gaming,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,Quarterly,https://api.data.gov.mo/document/download/f02b334a-cc44-4433-b942-672de0fdad13?token=qY34bwyhl44Rqj4VH4fho9c9JQUaKD8D&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '人均消費/澳門元']","['年份', '人均消费/澳门元']","['Year', 'Per-capita Spending/MOP']","['Ano', 'Despesa per capita/MOP']",FALSE,,,,,,,,
Citizenship application statistics,https://data.gov.mo/Detail?id=ab56e705-cbda-47a3-9f8a-2658159809f4,Apply for citizenship status,Completely open,Public safety and immigration,XLSX,Identification Bureau,(853) 28370777,info@dsi.gov.mo,Per year,https://api.data.gov.mo/document/download/ab56e705-cbda-47a3-9f8a-2658159809f4?token=2pIvk3Bv4ccImltPKcWFnCd5LeRqejL5J&isNeedFile=0&lang=TC,"['year', 'cumulativeNumberOfNaturalizationAsChineseNational', 'cumulativeNumberOfRestorationOfChineseNationality', 'cumulativeNumberOfRenunciationOfChineseNationality', 'cumulativeNumberOfSelectionOfChineseNationality', 'cumulativeNumberOfSelectionOfPortugueseNationality', 'cumulativeNumberOfChangeOfNationality']","['-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-']","['年份', '加人中國國籍累計人數', '恢復中國國籍累計人數', '退出中國國籍累計人數', '選擇中國國籍累計人數', '選擇葡萄牙國籍累計人數', '變更國籍累計人數']","['年份', '加人中国国籍累计人数', '恢复中国国籍累计人数', '退出中国国籍累计人数', '选择中国国籍累计人数', '选择葡萄牙国籍累计人数', '变更国籍累计人数']","['year', 'Cumulative Number of naturalization as Chinese national', 'Cumulative Number of restoration of Chinese national', 'Cumulative Number of renunciation of Chinese national', 'Cumulative Number of selection of Chinese national', 'Cumulative Number of selection of Portuguese nationality', 'Cumulative Number of change of nationality']","['ano', 'Número cumulativo dos requerimentos de aquisição da nacionalidade chinesa', 'Número cumulativo dos requerimentos de re-aquisição da nacionalidade chinesa', 'Número cumulativo dos requerimentos de renúncia da nacionalidade chinesa', 'Número cumulativo dos requerimentos de escolha da nacionalidade chinesa', 'Número cumulativo dos requerimentos de escolha da nacionalidade portuguesa', 'Número cumulativo dos requerimentos de alteração de nacionalidade']",FALSE,,,,,,,,
The number of civil servants statistics - divided by Qualification,https://data.gov.mo/Detail?id=5613b819-b110-40ac-974c-e556815e5587,"Annualized quarterly way to provide the number of civil servants in public administration human resources by education attainment of the Macao Special Administrative Region. It does not include rules and norms by private foundations and public agencies (including the Macao Foundation, the Macao Trade and Investment Promotion Institute, Macau Monetary Authority, the University of Macau, Macao Polytechnic Institute and the Civil Aviation Authority) personnel.",Completely open,Administrative and Legal Affairs,CSV,Chief Civil Service Bureau,（853）88099171,dprtsp@safp.gov.mo,Quarterly,https://api.data.gov.mo/document/download/5613b819-b110-40ac-974c-e556815e5587?token=RgAL50ZMO3X0WZW5ZfIjI09pd8uzuDiay&isNeedFile=0&lang=TC,"['year', 'quarter', 'educationalLevel', 'total']","['-', '-', '-', '-']","['-', '-', '-', '-']","['年份', '季度', '學歷程度', '加總人數']","['年份', '季度', '学历程度', '加总人数']","['year', 'quarter', 'educational level', 'total']","['Ano', 'Trimestre', 'Habilitações académicas', 'Total']",FALSE,,,,,,,,
Natural person voter registration statistics,https://data.gov.mo/Detail?id=7dc630ef-da14-41b5-9815-13d97340c941,"The number of voters registered in the natural persons' register of electors, ""the posting.
Year to ""register of electors"" show the year, the number reflects the number as of the record date of the previous deadline.",Completely open,Administrative and Legal Affairs,XLSX,Chief Civil Service Bureau,（853）28323623,info@safp.gov.mo,As needed,https://api.data.gov.mo/document/download/7dc630ef-da14-41b5-9815-13d97340c941?token=8jBBF5IlKlDtT97AOSxowj4cRYCHuYdY&isNeedFile=0&lang=TC,"['year', 'age', 'gendar', 'calPlaceOfBirth', 'regionNameTc', 'no']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-']","['年份', '年齡組別', '性別', '出生地', '常居所', '數目']","['年份', '年龄组别', '性别', '出生地', '常居所', '数目']","['year', 'age', 'gender', 'place of birth', 'region name TC', 'no']","['Ano', 'Idade', 'Sexo', 'Local de Nascimento', 'Nome da Região', 'Number']",FALSE,,,,,,,,
The hotel offers rooms and apartments,https://data.gov.mo/Detail?id=8d031b75-02de-46fd-a3be-97c6b9c6bed0,"Refers to non-employees are occupied, repair / refurbishment or for other purposes for the original customers stay in the room.",Completely open,Tourism and Gaming,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,per month,https://api.data.gov.mo/document/download/8d031b75-02de-46fd-a3be-97c6b9c6bed0?token=U3aisgvOk3M8P6PFlTIhTHtudrvMYgiji&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '數目']","['年份', '数目']","['Year', 'Number']","['Ano', 'Número']",FALSE,,,,,,,,
Public welfare system merchant offers supplementary list,https://data.gov.mo/Detail?id=f1183f2c-1c42-4cbb-ba72-c44d3870eabb,Discount list of firms complement public welfare system beneficiaries can enjoy,Completely open,Administrative and Legal Affairs,XLSX,Chief Civil Service Bureau,(853)28355200；(853)28355201；(853)85999500；(853)85999501,dasfp@informac.gov.mo,As needed,https://api.data.gov.mo/document/download/f1183f2c-1c42-4cbb-ba72-c44d3870eabb?token=rx5niE3D9mwxYibCdILtqacNB4X5DRA0&isNeedFile=0&lang=TC,"['no1', 'tipoTc', 'no2', 'nameTc', 'addressTc', 'telNo', 'offerTc']","['-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-']","['編號', '類別', '分類編號', '商戶名稱', '地址', '電話', '折扣優惠']","['编号', '类别', '分类编号', '商户名称', '地址', '电话', '折扣优惠']","['No.', 'type TC', 'No. of category', 'Name of business TC', 'address TC', 'Tel', 'offers and discounts TC']","['No', 'Tipo', 'Tipo No', 'Designação das casas comerciais', 'Endereços', 'Tel', 'Descontos Especiais']",FALSE,,,,,,,,
The average duration of the exhibition event / exhibition,https://data.gov.mo/Detail?id=29c9c969-d53b-4845-a991-54032ba15362,Exhibition activities organized by the average number of days.,Completely open,Entrepreneurship and Business,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,Quarterly,https://api.data.gov.mo/document/download/29c9c969-d53b-4845-a991-54032ba15362?token=kyW0hvkVy3uSiyrMrdmIJFCl4Ybpaaadr&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '日']","['年份', '日']","['Year', 'Day']","['Ano', 'Dia']",FALSE,,,,,,,,
Storm Surge,https://data.gov.mo/Detail?id=4e8d2017-aa1b-4bab-a03a-fb570dadbf6e,Provision of storm surge flooding situation and warning signals and other information.,Completely open,city ​​environment,XML,Meteorological and Geophysical Bureau,(853) 8898 6223,meteo@smg.gov.mo,As needed,https://api.data.gov.mo/document/download/4e8d2017-aa1b-4bab-a03a-fb570dadbf6e?token=FFOK1JfvxyiSq90c8bjPfLae59v0670C&isNeedFile=0&lang=TC,,,,,,,,FALSE,,,,,,,,
Gross Domestic Product (expenditure) - current prices,https://data.gov.mo/Detail?id=08d5d237-ea56-46f4-9336-1597512f9ef9,"During the accounting period, private consumption expenditure at current prices of buyers, government final consumption expenditure, fixed capital formation, changes in inventories, and the sum total exports, minus the value of imports.",Completely open,Entrepreneurship and Business,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,Quarterly,https://api.data.gov.mo/document/download/08d5d237-ea56-46f4-9336-1597512f9ef9?token=e1vvoW965sxea8Qu3rbBLnwSQpfoJean&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '本地生產總值/百萬澳門元']","['年份', '本地生产总值/百万澳门元']","['Year', 'GDP/Million MOP']","['Ano', 'PIB/Milhões de MOP']",FALSE,,,,,,,,
The average daily wage of construction workers,https://data.gov.mo/Detail?id=11416283-caa4-43cf-b33d-0aae77a30d50,The sum of the daily wage of construction workers divided by the number of construction workers.,Completely open,Demography,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,Quarterly,https://api.data.gov.mo/document/download/11416283-caa4-43cf-b33d-0aae77a30d50?token=gXEhYlFO1a3tkxGOQOtFlOvQ59GBANiv&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '平均日薪/澳門元']","['年份', '平均日薪/澳门元']","['Year', 'Average wages/MOP']","['Ano', 'Salário diário médio/MOP']",FALSE,,,,,,,,
Criminal record certificate issued quantity statistics,https://data.gov.mo/Detail?id=38d3dac0-482b-4317-a389-8d1039a07645,Criminal record certificate issued quantity,Completely open,Public safety and immigration,XLSX,Identification Bureau,(853) 28370777,info@dsi.gov.mo,Per year,https://api.data.gov.mo/document/download/38d3dac0-482b-4317-a389-8d1039a07645?token=osRLz5Ayi78AaJeEA6RWtC0UiwOf1mmre&isNeedFile=0&lang=TC,"['year', 'numberOfPublicApplicationCertificateOfCriminalRecord', 'numberOfEntityApplicationCertificateOfCriminalRecord', 'numberOfPublicApplicationCertificateOfSpecialRecordForMinors', 'numberOfEntityApplicationCertificateOfSpecialRecordForMinors']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['年份', '刑事紀錄證明書公眾申請發出數量', '刑事紀錄證明書機關申請發出數量', '未成年人特別紀錄證明書公眾申請發出數量', '未成年人特別紀錄證明書機關申請發出數量']","['年份', '刑事纪录证明书公众申请发出数量', '刑事纪录证明书机关申请发出数量', '未成年人特别纪录证明书公众申请发出数量', '未成年人特别纪录证明书机关申请发出数量']","['year', 'Number of Public application of Certificate of Criminal Record issued', 'Number of Entity application of Certificate of Criminal Record issued', 'Number of Public application of Certificate of Special Record for Minors issued', 'Number of Entity application of Certificate of Special Record for Minors issued']","['ano', 'Número de emissão do pedido apresentado por indivíduo do Certificado de registo criminal', 'Número de emissão do pedido apresentado por entidade do Certificado de registo criminal', 'Número de emissão do pedido apresentado por indivíduo do Certificado do registo especial de menores', 'Número de emissão do pedido apresentado por entidade do Certificado do registo especial de menores']",FALSE,,,,,,,,
